id,status2021EN,status2021HE,surnameHE,givenNameHE,surnameEN,givenNameEN,genderEN,genderHE,nationalityEN,nationalityHE,religionEN,religionHE,religiousityEN,religiousityHE,ethnicityEN,ethnicityHE,birthCountryEN,birthCountryHE,birthYear,majorChildhoodCityHE,majorChildhoodCityEN,citySocio,highschoolHE,educationTypeEN,educationTypeHE,armyServiceEN,armyServiceHE,mainLegalEducationEN,mainLegalEducationHE,mainLegalEducationTypeInstEN,mainLegalEducationTypeInstHE,YearFisrtDegreeGraduation,typeAdvancedLegalEducationEN,typeAdvancedLegalEducationHE,universityAdvancedLegalEducationEN,universityAdvancedLegalEducationHE,yearAdvancedLegalEducation,otherAdvancedEducationHE,placeOfInternshipEN,placeOfInternshipHE,yearOfBecomingLawyer,lastPositionBeforeJudgeshipEN,lastPositionBeforeJudgeshipEN,position1EN,position1HE,court1NameEN,court1NameHE,position1Year,position2EN,position2HE,court2NameEN,court2NameHE,position2Year,position3EN,position3HE,court3NameEN,court3NameHE,position3Year,position4EN,position4HE,court4NameEN,court4NameHE,position4Year,position5EN,position5HE,court5NameEN,court5NameHE,position5Year,position6EN,position6HE,court6NameEN,court6NameHE,position6Year,position7EN,position7HE,court7NameEN,court7NameHE,position7Year,position8EN,position8HE,court8NameEN,court8NameHE,position8Year,everInSupremeCourt,everInSupremeStartYear1,everInSupremeEndYear1,everInSupremeStartYear2,everInSupremeEndYear2,everInDistrict,everInDistrictStartYear1,everInDistrictEndYear1,everInDistrictStartYear2,everInDistrictEndYear2,everInMagistrate,everInMagistrateStartYear1,everInMagistrateEndYear1,everInMagistrateStartYear2,everInMagistrateEndYear2,everInLaborRegional,everInLaborRegionalStartYear1,everInLaborRegionalEndYear1,everInLaborRegionalStartYear2,everInLaborRegionalEndYear2,everInLaborNational,everInLaborNationalStartYear,everInLaborNationalEndYear,endOfCareerEN,endOfCareerHE,endOfCareerYear,comments,ageOfEnteringJudgeship,xpInFirstNom,ageOfRetirement,JudgeshipxpInRet
355,Inactive,אינו פעיל\ אינה פעילה,שטמר שושנה,שושנה,Shtamer Rose,Rose,Female,נקבה,Jew,יהודי,Jew,יהודי\ה,Jew - no religious background,ללא רקע דתי,Ashkenazi,אשכנזי\ה,Eastern Europe,מזרח אירופה,1946,חיפה,Haifa,7,הריאלי העברי בחיפה,state-secular,ממלכתי,Army Service,Army Service,Hebrew University of Jerusalem,האוניברסיטה העברית בירושלים,University,אוניברסיטה,1968,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,IDF,"צה""ל",1971,Public Prosecutor,פרקליטות המדינה,Judge,שיפוט,Magistrate - Haifa,שלום- חיפה,1989,Judge,שיפוט,Distrcit - Unknown,מחוזי- מחוז לא ידוע,2000,Vice President,"סגנות נשיאות בימ""ש",District - Haifa,מחוזי- חיפה,2010,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,TRUE,2000,2016,,,TRUE,1989,1999,,,FALSE,,,,,FALSE,,,Retired,פרישה לגמלאות,2016,-99,43,18,70,27
356,Inactive,אינו פעיל\ אינה פעילה,ברלינר ,שמואל,,Samuel,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Jew - no religious background,ללא רקע דתי,Ashkenazi,אשכנזי\ה,Israel\Palestine,ישראל\פלשתינה,1946,נהרייה,Nahariya,6,עירוני - נהריה,state-secular,ממלכתי,Army Service,Army Service,Hebrew University of Jerusalem,האוניברסיטה העברית בירושלים,University,אוניברסיטה,1971,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,Unknown,לא ידוע,1971,Law Firm,"משרד עו""ד",Judge,שיפוט,Magistrate - Acre,שלום- עכו,1983,Judge,שיפוט,District - Haifa,מחוזי- חיפה,1992,Vice President,"סגנות נשיאות בימ""ש",District - Haifa,מחוזי- חיפה,2005,Associate Judge,שיפוט עמית,District - Haifa,מחוזי- חיפה,2014,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,TRUE,1992,2014,,,TRUE,1983,1991,,,FALSE,,,,,FALSE,,,Retired,פרישה לגמלאות,2014,,37,12,68,31
357,Active,פעיל\ה,ברנד,אלי,Brand,to me,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Jew - Orthodox Background,דתי אורותודכסי,Ashkenazi,אשכנזי\ה,Israel\Palestine,ישראל\פלשתינה,1967,לא ידוע,Unknown,null,ישיבת הסדר אור ציון,religious (state and independent),דתי (ממלכתי\עצמאי),Army Service,Army Service,Bar Ilan University ,אוניברסיטת בר אילן,University,אוניברסיטה,1994,Unknown,לא ידוע,Unknown,לא ידוע,null,ראשון היסטוריה פתוחה,Law Firm,"משרד עו""ד",1996,Law Firm,"משרד עו""ד",Judge,שיפוט,Magistrate - Center District,שלום- מחוז מרכז,2016,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,FALSE,,,,,TRUE,2016,9999,,,FALSE,,,,,FALSE,,,null,null,9999,,49,20,FALSE,null
358,Inactive,אינו פעיל\ אינה פעילה,פריאל אריקה,אריקה,Erica Friel,Erica,Female,נקבה,Jew,יהודי,Jew,יהודי\ה,Unknown,לא ידוע,Unknown,לא ידוע,Latin America,אמריקה הלטינית,1947,חוץ לארץ,abroad,null,null,Unknown,לא ידוע,Unkown,Unkown,Abroad (other),"חו""ל (אחר)",Abroad,"חו""ל",1971,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,Unknown,לא ידוע,1979,Law Firm,"משרד עו""ד",Registrar,רשמות,Magistrate - Haifa,שלום- חיפה,1989,Judge,שיפוט,Magistrate - Haifa,שלום- חיפה,1994,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,FALSE,,,,,TRUE,1989,2016,,,FALSE,,,,,FALSE,,,Retired,פרישה לגמלאות,2016,בשנת 1972 הוסמכה כעורכת דין בצילה,42,10,69,27
359,Inactive,אינו פעיל\ אינה פעילה,"ברנזון ז""ל",צבי,,deer,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Unknown,לא ידוע,Ashkenazi,אשכנזי\ה,Israel\Palestine,ישראל\פלשתינה,1907,צפת,Zefat,2,המסיון הסקוטי,Arab,ערבי (ממלכתי\עצמאי),Unkown,Unkown,Britain and its Colonies,בריטניה והקולוניות,Abroad,"חו""ל",1934,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,Law Firm,"משרד עו""ד",1936,Government department/agency,משרד או רשות ממשלתית,Judge,שיפוט,Supreme Court,עליון,1953,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,TRUE,1953,1977,,,FALSE,,,,,FALSE,,,,,FALSE,,,,,FALSE,,,Retired,פרישה לגמלאות,1977,נפטר 2001,46,17,70,24
360,Inactive,אינו פעיל\ אינה פעילה,דותן שולמית,שלומית,Shulamit Dotan,Shlomit,Female,נקבה,Jew,יהודי,Jew,יהודי\ה,Jew - Orthodox Background,דתי אורותודכסי,Mizrahi,מזרחי\ת,Middle East (Asia),מזרח תיכון,1952,ירושלים,Jerusalem,3,חורב,religious (state and independent),דתי (ממלכתי\עצמאי),Unkown,Unkown,Hebrew University of Jerusalem,האוניברסיטה העברית בירושלים,University,אוניברסיטה,1974,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,Law Firm,"משרד עו""ד",1975,Law Firm,"משרד עו""ד",Judge,שיפוט,Magistrate - Jerusalem,שלום- ירושלים,1990,Vice President,"סגנות לנשיאות בימ""ש",Magistrate - Jerusalem,שלום- ירושלים,1999,President,"נשיאות בימ""ש",Magistrate - Jerusalem District,שלום- מחוז ירושלים,2009,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,FALSE,,,,,TRUE,1990,2016,,,FALSE,,,,,FALSE,,,Retired,פרישה לגמלאות,2016,-99,38,15,64,26
361,Inactive,אינו פעיל\ אינה פעילה,אבי גיא ,דליה,,Dalia,Female,נקבה,Jew,יהודי,Jew,יהודי\ה,Jew - no religious background,ללא רקע דתי,Ashkenazi,אשכנזי\ה,Eastern Europe,מזרח אירופה,1960,תל אביב -יפו,Tel Aviv Jaffa,8,"גמנסיה הרצליה - ת""א",state-secular,ממלכתי,Army Service,Army Service,Tel Aviv University,אוניברסיטת תל אביב,University,אוניברסיטה,1984,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,Public Prosecutor ,פרקליטות המדינה,1985,Government department/agency,משרד או רשות ממשלתית,Registrar,רשמות,Magistrate - Tel Aviv-Jaffa,שלום- תל אביב יפו,1991,Judge,שיפוט,Magistrate - Tel Aviv-Jaffa,שלום- תל אביב יפו,1996,Vice President,"סגנות נשיאות בימ""ש",Magistrate - Tel Aviv-Jaffa,שלום- מחוז תל אביב,2009,Associate Judge,שיפוט עמית,Magistrate - Unknown,שלום- לא ידוע,2016,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,FALSE,,,,,TRUE,1991,2016,,,FALSE,,,,,FALSE,,,Retired,פרישה לגמלאות,2016,שופטת עמיתה,31,6,56,25
362,Inactive,אינו פעיל\ אינה פעילה,ברנר ,שלום,Brenner,Hello,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Jew - no religious background,ללא רקע דתי,Ashkenazi,אשכנזי\ה,Israel\Palestine,ישראל\פלשתינה,1936,חיפה,Haifa,7,אליאנס - חיפה,state-secular,ממלכתי,Army Service,Army Service,Hebrew University of Jerusalem,האוניברסיטה העברית בירושלים,University,אוניברסיטה,Unknown,Masters,Masters,Hebrew University of Jerusalem (HUJI),האוניברסיטה העברית בירושלים,1959,לא ידוע,Law Firm,"משרד עו""ד",1963,Law Firm,"משרד עו""ד",Judge,שיפוט,District - Jerusalem,מחוזי- ירושלים,1982,Vice President,"סגנות לנשיאות בימ""ש",District - Jerusalem,מחוזי- ירושלים,1996,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,TRUE,1982,1998,,,FALSE,,,,,FALSE,,,,,FALSE,,,Retired,פרישה לגמלאות,1998,,46,19,62,16
363,Inactive,אינו פעיל\ אינה פעילה,חבש עוני,עוני,Habash poverty,poverty,Male,זכר,Palestinian\Arab,ערבי\פלסטיני,Unknown,לא ידוע,null,null,None-Jewish,לא יהודי\ה,Israel\Palestine,ישראל\פלשתינה,1943,טייבה,Taybeh,3,בית ספר טייבה,Arab,ערבי (ממלכתי\עצמאי),Unknown,Unkown,Hebrew University of Jerusalem,האוניברסיטה העברית בירושלים,University,אוניברסיטה,1978,Unknown,לא ידוע,Unknown,לא ידוע,null,"דוקטורט בסוציולוגיה - ארה""ב",Magistrate Court,"בימ""ש שלום",1979,Law Firm,"משרד עו""ד",Judge,שיפוט,District - Jerusalem,מחוזי- ירושלים,1994,Vice President,"סגנות לנשיאות בימ""ש",District - Jerusalem,מחוזי- ירושלים,2006,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,TRUE,1994,2009,,,FALSE,,,,,FALSE,,,,,FALSE,,,Retired,פרישה לגמלאות,2009,,51,15,66,15
364,Inactive,אינו פעיל\ אינה פעילה,לביא,רובין,Lavi Rubin,Robin,Female,נקבה,Jew,יהודי,Jew,יהודי\ה,Unknown,לא ידוע,Unknown,לא ידוע,North America,צפון אמריקה,1951,לא ידוע,Unknown,null,null,Unknown,לא ידוע,Army Service,Army Service,Tel Aviv University,אוניברסיטת תל אביב,University,אוניברסיטה,1978,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,Justice Department - Attorney General,משרד המשפטים- היועץ המשפטי,1980,"Security Forces (Police, IDF, ISA) ","כוחות הבטחון (צה""ל, משטרה, שב""כ)",Registrar,רשמות,Magistrate - Beer Sheva,שלום- באר שבע,1994,Judge - specialty,שיפוט-מומחיות,Magistrate - Southern District,שלום- מחוז דרום,1997,Acting Judge,שיפוט בפועל,Magistrate - Ashdod,שלום- אשדוד,2002,Judge,שיפוט,Magistrate - Southern District,שלום- מחוז דרום,2003,Senior Judge,שיפוט בכיר,Magistrate - Southern District,שלום- מחוז דרום,2011,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,FALSE,,,,,TRUE,1994,2016,,,FALSE,,,,,FALSE,,,Retired,פרישה לגמלאות,2016,-99,43,14,65,22
365,Inactive,אינו פעיל\ אינה פעילה,"ברנר ז""ל",נתנאל,Brenner late,Netanel,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Unknown,לא ידוע,Ashkenazi,אשכנזי\ה,Eastern Europe,מזרח אירופה,1931,לא ידוע,Unknown,null,null,Unknown,לא ידוע,Unknown,Unkown,Tel Aviv University,אוניברסיטת תל אביב,University,אוניברסיטה,Unknown,Masters,Masters,Tel Aviv University (TAU),אוניברסיטת תל אביב,1980,לא ידוע,Police,משטרה,1964,Law Firm,"משרד עו""ד",Judge,שיפוט,Magistrate - Tel Aviv-Jaffa,שלום- תל אביב יפו,1973,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,FALSE,,,,,TRUE,1973,1988,,,FALSE,,,,,FALSE,,,Retired,פרישה לגמלאות,1988,נפטר 2012,42,9,57,15
366,Active,פעיל\ה,ברנר חגי,חגי,Brenner holidays,Hagai,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Jew - no religious background,ללא רקע דתי,Ashkenazi,אשכנזי\ה,Israel\Palestine,ישראל\פלשתינה,1964,חולון,Holon,6,מיטרני,state-secular,ממלכתי,Army Service,Army Service,Hebrew University of Jerusalem,האוניברסיטה העברית בירושלים,University,אוניברסיטה,1990,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,Unknown,לא ידוע,1991,Law Firm,"משרד עו""ד",Judge,שיפוט,Magistrate - Tel Aviv District,שלום- מחוז תל אביב,2002,Acting Judge,שיפוט בפועל,District - Tel Aviv-Jaffa,מחוזי- תל אביב יפו,2009,Judge,שיפוט,District - Tel Aviv-Jaffa,מחוזי- תל אביב יפו,2012,null,"סגנות נשיאות בימ""ש",null,מחוזי- תל אביב יפו,2017,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,TRUE,2009,9999,,,TRUE,2002,2008,,,FALSE,,,,,FALSE,,,null,null,9999,-99,38,11,FALSE,null
367,Inactive,אינו פעיל\ אינה פעילה,ברנר שמואל,שמואל,,Samuel,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Unknown,לא ידוע,Ashkenazi,אשכנזי\ה,Unknown,לא ידוע,Unknown,לא ידוע,Unknown,null,null,Unknown,לא ידוע,Unknown,Unkown,Unknown,לא ידוע,Unknown,לא ידוע,Unknown,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,Unknown,לא ידוע,Unknown,Unknown,לא ידוע,Unknown,לא ידוע,Unknown,לא ידוע,Unknown,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,,,,FALSE,,,,,FALSE,,,,,FALSE,,,,,FALSE,,,Retired,פרישה לגמלאות,2001,אין מידע באתר הרשות או ברשומות - רק סיום ב2001,Unknown,Unknown,Unknown,Unknown
368,Active,פעיל\ה,ברסלר-גונן ,איתי,,With me,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Jew - no religious background,ללא רקע דתי,Ashkenazi,אשכנזי\ה,Israel\Palestine,ישראל\פלשתינה,1968,מרחבים,Spaces,5,אשל הנשיא,state-secular,ממלכתי,Army Service,Army Service,Hebrew University of Jerusalem,האוניברסיטה העברית בירושלים,University,אוניברסיטה,1998,Unknown,לא ידוע,Unknown,לא ידוע,null,שני במנהל ציבורי בן גוריון,District Court,"בימ""ש מחוזי",1999,Law Firm,"משרד עו""ד",Judge,שיפוט,Magistrate - Southern District,שלום- מחוז דרום,2010,Vice President,"סגנות לנשיאות בימ""ש",Magistrate - Southern District,שלום- מחוז דרום,2013,null,שיפוט בכיר,null,שלום- באר שבע,2020,null,שיפוט בפועל,null,מחוזי- באר שבע,2021,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,FALSE,,,,,TRUE,2010,9999,,,FALSE,,,,,FALSE,,,null,null,9999,-99,42,11,FALSE,null
369,Inactive,אינו פעיל\ אינה פעילה,"ברעלי ז""ל",יצחק,The late Bareli,Isaac,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Unknown,לא ידוע,Ashkenazi,אשכנזי\ה,Eastern Europe,מזרח אירופה,1911,לא ידוע,Unknown,null,null,Unknown,לא ידוע,Unknown,Unkown,Eastern Europe,מזרח אירופה,Abroad,"חו""ל",1934,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,Law Firm,"משרד עו""ד",Unknown,Judiciary (law clerks),סגל עזר שיפוטי,Judge,שיפוט,Magistrate - Jerusalem,שלום- ירושלים,1952,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,FALSE,,,,,TRUE,1952,1973,,,FALSE,,,,,FALSE,,,Retired,פרישה לגמלאות,1973,נפטר במועד לא ידוע; פרישה מוקדמת מטעם לא ידוע,41,Unknown,62,21
370,Inactive,אינו פעיל\ אינה פעילה,בן זאב,משה,Ben-Zeev,Moses,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Jew - no religious background,ללא רקע דתי,Ashkenazi,אשכנזי\ה,Eastern Europe,מזרח אירופה,1911,לא ידוע,Unknown,null,תיכון כללי בפולין,Unknown,לא ידוע,Army Service,Army Service,Eastern Europe,מזרח אירופה,Abroad,"חו""ל",1935,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,Law Firm,"משרד עו""ד",1940,Law Firm,"משרד עו""ד",Judge,שיפוט,District - Haifa,מחוזי- חיפה,1958,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,TRUE,1958,1963,,,FALSE,,,,,FALSE,,,,,FALSE,,,Apoointed other Public Position,מינוי למשרה ציבורית אחרת,1963,"מונה ליועמ""ש ב1963 בלי שפרש משפיטה. ככהנ לא חזר לתפקיד שפיטה לאחר מכן",47,18,52,5
371,Inactive,אינו פעיל\ אינה פעילה,הורוביץ חני,חני,,Chani,Female,נקבה,Jew,יהודי,Jew,יהודי\ה,Unknown,לא ידוע,Ashkenazi,אשכנזי\ה,Eastern Europe,מזרח אירופה,1950,נהרייה,Nahariya,6,null,Unknown,לא ידוע,Army Service,Army Service,Hebrew University of Jerusalem,האוניברסיטה העברית בירושלים,University,אוניברסיטה,1973,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,District Court,"בימ""ש מחוזי",1975,Public Prosecutor,פרקליטות המדינה,Judge,שיפוט,Magistrate - Haifa,שלום- חיפה,1995,Acting Judge,שיפוט בפועל,District - Haifa,מחוזי- חיפה,2005,Judge,שיפוט,District - Haifa,מחוזי- חיפה,2007,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,TRUE,2005,2016,,,TRUE,1995,2004,,,FALSE,,,,,FALSE,,,Retired,פרישה לגמלאות,2016,-99,45,20,66,21
372,Inactive,אינו פעיל\ אינה פעילה,פרוז'ינין דיתה,דיתה,Froz'inin Dita,Dita,Female,נקבה,Jew,יהודי,Jew,יהודי\ה,Unknown,לא ידוע,Ashkenazi,אשכנזי\ה,Israel\Palestine,ישראל\פלשתינה,1946,לא ידוע,Unknown,null,null,Unknown,לא ידוע,Army Service,Army Service,Hebrew University of Jerusalem,האוניברסיטה העברית בירושלים,University,אוניברסיטה,1987,Unknown,לא ידוע,Unknown,לא ידוע,null,ראשון בלשון עברית וצרפתית - העברית,Labor Courts,בתי דין לעבודה,1987,Law Firm,"משרד עו""ד",Registrar,רשמות,Labor - Jerusalem,עבודה- ירושלים,1995,Judge,שיפוט,Labor - Jerusalem,עבודה- ירושלים,1997,Vice President,"סגנות נשיאות בימ""ש",Labor - Jerusalem,עבודה- ירושלים,2005,President,"נשיאות בימ""ש",Labor - Jerusalem,עבודה- ירושלים,2008,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,FALSE,,,,,FALSE,,,,,TRUE,1995,2016,,,FALSE,,,Retired,פרישה לגמלאות,2016,פרישה מוקדמת מטעם לא ידוע,49,8,70,21
